,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
0,0.0,3,male,22.0,1,0,7.25,S,Mr.
1,1.0,1,female,38.0,1,0,71.2833,C,Mrs.
2,1.0,3,female,26.0,0,0,7.925,S,Miss.
3,1.0,1,female,35.0,1,0,53.1,S,Mrs.
4,0.0,3,male,35.0,0,0,8.05,S,Mr.
5,0.0,3,male,25.962263610315187,0,0,8.4583,Q,Mr.
6,0.0,1,male,54.0,0,0,51.8625,S,Mr.
7,0.0,3,male,2.0,3,1,21.075,S,Master.
8,1.0,3,female,27.0,0,2,11.1333,S,Mrs.
9,1.0,2,female,14.0,1,0,30.0708,C,Mrs.
10,1.0,3,female,4.0,1,1,16.7,S,Miss.
11,1.0,1,female,58.0,0,0,26.55,S,Miss.
12,0.0,3,male,20.0,0,0,8.05,S,Mr.
13,0.0,3,male,39.0,1,5,31.275,S,Mr.
14,0.0,3,female,14.0,0,0,7.8542,S,Miss.
15,1.0,2,female,55.0,0,0,16.0,S,Mrs.
16,0.0,3,male,2.0,4,1,29.125,Q,Master.
17,1.0,2,male,30.815379746835443,0,0,13.0,S,Mr.
18,0.0,3,female,31.0,1,0,18.0,S,Other
19,1.0,3,female,22.185328947368422,0,0,7.225,C,Mrs.
20,0.0,2,male,35.0,0,0,26.0,S,Mr.
21,1.0,2,male,34.0,0,0,13.0,S,Mr.
22,1.0,3,female,15.0,0,0,8.0292,Q,Miss.
23,1.0,1,male,28.0,0,0,35.5,S,Mr.
24,0.0,3,female,8.0,3,1,21.075,S,Miss.
25,1.0,3,female,38.0,1,5,31.3875,S,Mrs.
26,0.0,3,male,25.962263610315187,0,0,7.225,C,Mr.
27,0.0,1,male,19.0,3,2,263.0,S,Mr.
28,1.0,3,female,22.185328947368422,0,0,7.8792,Q,Miss.
29,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
30,0.0,1,male,40.0,0,0,27.7208,C,Other
31,1.0,1,female,37.037593984962406,1,0,146.5208,C,Mrs.
32,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
33,0.0,2,male,66.0,0,0,10.5,S,Mr.
34,0.0,1,male,28.0,1,0,82.1708,C,Mr.
35,0.0,1,male,42.0,1,0,52.0,S,Mr.
36,1.0,3,male,25.962263610315187,0,0,7.2292,C,Mr.
37,0.0,3,male,21.0,0,0,8.05,S,Mr.
38,0.0,3,female,18.0,2,0,18.0,S,Other
39,1.0,3,female,14.0,1,0,11.2417,C,Miss.
40,0.0,3,female,40.0,1,0,9.475,S,Mrs.
41,0.0,2,female,27.0,1,0,21.0,S,Mrs.
42,0.0,3,male,25.962263610315187,0,0,7.8958,C,Mr.
43,1.0,2,female,3.0,1,2,41.5792,C,Miss.
44,1.0,3,female,19.0,0,0,7.8792,Q,Miss.
45,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
46,0.0,3,male,25.962263610315187,1,0,15.5,Q,Mr.
47,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
48,0.0,3,male,25.962263610315187,2,0,21.6792,C,Mr.
49,0.0,3,female,18.0,1,0,17.8,S,Mrs.
50,0.0,3,male,7.0,4,1,39.6875,S,Master.
51,0.0,3,male,21.0,0,0,7.8,S,Mr.
52,1.0,1,female,49.0,1,0,76.7292,C,Mrs.
53,1.0,2,female,29.0,1,0,26.0,S,Mrs.
54,0.0,1,male,65.0,0,1,61.9792,C,Mr.
55,1.0,1,male,41.02927152317881,0,0,35.5,S,Mr.
56,1.0,2,female,21.0,0,0,10.5,S,Miss.
57,0.0,3,male,28.5,0,0,7.2292,C,Mr.
58,1.0,2,female,5.0,1,2,27.75,S,Miss.
59,0.0,3,male,11.0,5,2,46.9,S,Master.
60,0.0,3,male,22.0,0,0,7.2292,C,Mr.
61,1.0,1,female,38.0,0,0,80.0,S,Miss.
62,0.0,1,male,45.0,1,0,83.475,S,Mr.
63,0.0,3,male,4.0,3,2,27.9,S,Master.
64,0.0,1,male,41.02927152317881,0,0,27.7208,C,Mr.
65,1.0,3,male,25.962263610315187,1,1,15.2458,C,Master.
66,1.0,2,female,29.0,0,0,10.5,S,Mrs.
67,0.0,3,male,19.0,0,0,8.1583,S,Mr.
68,1.0,3,female,17.0,4,2,7.925,S,Miss.
69,0.0,3,male,26.0,2,0,8.6625,S,Mr.
70,0.0,2,male,32.0,0,0,10.5,S,Mr.
71,0.0,3,female,16.0,5,2,46.9,S,Miss.
72,0.0,2,male,21.0,0,0,73.5,S,Mr.
73,0.0,3,male,26.0,1,0,14.4542,C,Mr.
74,1.0,3,male,32.0,0,0,56.4958,S,Mr.
75,0.0,3,male,25.0,0,0,7.65,S,Mr.
76,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
77,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
78,1.0,2,male,0.83,0,2,29.0,S,Master.
79,1.0,3,female,30.0,0,0,12.475,S,Miss.
80,0.0,3,male,22.0,0,0,9.0,S,Mr.
81,1.0,3,male,29.0,0,0,9.5,S,Mr.
82,1.0,3,female,22.185328947368422,0,0,7.7875,Q,Miss.
